liste der properties von eine Zelle 
Output von SheetHelper.inpectPropertySet(XPropertySet xPropSet)

FormatID					Type[unsigned hyper]
Hyperlink					Type[string]
CharEscapement				Type[long]
VertJustify					Type[long]
ValidationLocal				Type[com.sun.star.beans.XPropertySet]
UserDefinedAttributes		Type[com.sun.star.container.XNameContainer]
TableBorder2				Type[com.sun.star.table.TableBorder2]
Size						Type[com.sun.star.awt.Size]
ShrinkToFit					Type[boolean]
ShadowFormat				Type[com.sun.star.table.ShadowFormat]
RotateReference				Type[long]
TopBorder2					Type[com.sun.star.table.BorderLine2]
RotateAngle					Type[long]
RightBorder2				Type[com.sun.star.table.BorderLine2]
WritingMode					Type[short]
ParaRightMargin				Type[long]
CharOverline				Type[short]
ChartRowAsLabel				Type[boolean]
DiagonalBLTR2				Type[com.sun.star.table.BorderLine2]
Orientation					Type[com.sun.star.table.CellOrientation]
Validation					Type[com.sun.star.beans.XPropertySet]
CharFontStyleNameComplex	Type[string]
CharColor					Type[long]
CharFontFamilyAsian			Type[short]
CharPostureComplex			Type[com.sun.star.awt.FontSlant]
CharOverlineHasColor		Type[boolean]
CharFontStyleNameAsian		Type[string]
CharFont					Type[short]
ParaAdjust					Type[short]
CharLocaleAsian				Type[com.sun.star.lang.Locale]
ParaIndent					Type[short]
ConditionalFormatXML		Type[com.sun.star.sheet.XSheetConditionalEntries]
ChartColumnAsLabel			Type[boolean]
TableBorder					Type[com.sun.star.table.TableBorder]
CharHeightAsian				Type[float]
VertJustifyMethod			Type[long]
CharFontPitchComplex		Type[short]
CharFontCharSetAsian		Type[short]
CharRelief					Type[short]
CharFontPitchAsian			Type[short]
CharFontFamilyComplex		Type[short]
CharFontNameAsian			Type[string]
CharHeightComplex			Type[float]
BottomBorder				Type[com.sun.star.table.BorderLine]
CharFontNameComplex			Type[string]
CellProtection				Type[com.sun.star.util.CellProtection]
AbsoluteName				Type[string]
BottomBorder2				Type[com.sun.star.table.BorderLine2]
Position					Type[com.sun.star.awt.Point]
CharHeight					Type[float]
CharFontName				Type[string]
CharFontCharSetComplex		Type[short]
AsianVerticalMode 			Type[boolean]
CellBackColor 				Type[long]
CharOverlineColor 			Type[long]
DiagonalTLBR2				Type[com.sun.star.table.BorderLine2]
CharContoured 				Type[boolean]
CharFontCharSet 			Type[short]
CharPosture 				Type[com.sun.star.awt.FontSlant] 
CharWeightComplex			Type[float]
CharFontStyleName 			Type[string]
CellStyle 					Type[string]
CharPostureAsian 			Type[com.sun.star.awt.FontSlant]
CharShadowed 				Type[boolean]
RightBorder 				Type[com.sun.star.table.BorderLine]
CharEmphasis				Type[short]
CharStrikeout 				Type[short]
TopBorder 					Type[com.sun.star.table.BorderLine]
CharUnderline 				Type[short]
CharUnderlineColor			Type[long]
CharUnderlineHasColor 		Type[boolean]
ParaTopMargin 				Type[long]
CharLocaleComplex			Type[com.sun.star.lang.Locale]
DiagonalTLBR				Type[com.sun.star.table.BorderLine]
CharWeight					Type[float]
CharWeightAsian				Type[float]
CharWordMode				Type[boolean]
CharLocale					Type[com.sun.star.lang.Locale]
ParaLastLineAdjust			Type[short]
-------------------
ConditionalFormatLocal		Type[com.sun.star.sheet.XSheetConditionalEntries]
ConditionalFormat			Type[com.sun.star.sheet.XSheetConditionalEntries]
-------------------
FormulaLocal				Type[string]
DiagonalBLTR				Type[com.sun.star.table.BorderLine]
FormulaResultType			Type[com.sun.star.table.CellContentType]
HoriJustify					Type[com.sun.star.table.CellHoriJustify]
ValidationXML				Type[com.sun.star.beans.XPropertySet]
HoriJustifyMethod			Type[long]
IsCellBackgroundTransparent	Type[boolean]
IsTextWrapped				Type[boolean]
LeftBorder					Type[com.sun.star.table.BorderLine]
LeftBorder2					Type[com.sun.star.table.BorderLine2]
NumberFormat				Type[long]
NumberingRules				Type[com.sun.star.container.XIndexReplace]
CharCrossedOut				Type[boolean]
ParaBottomMargin			Type[long]
ParaLeftMargin				Type[long]
CharFontFamily				Type[short]
CharFontPitch				Type[short]
ParaIsCharacterDistance		Type[boolean]
ParaIsForbiddenRules		Type[boolean]
ParaIsHangingPunctuation	Type[boolean]
ParaIsHyphenation			Type[boolean]
